,url,league_name,Club,Defensive Style,Offensive Style,Domestic Prestige,International Prestige
94,453,Spain Primera Division ,RCD Mallorca,Balanced,Long Ball,3,1
95,1806,English League Championship ,Stoke City,Press After Possession Loss,Balanced,6,4
96,1790,English League One ,Portsmouth,Balanced,Balanced,8,2
97,1819,French Ligue 1 ,AS Saint-\xc3\x89tienne,Balanced,Long Ball,6,3
98,1796,English Premier League ,Burnley,Balanced,Long Ball,4,3
99,110636,German 1. Bundesliga ,Fortuna D\xc3\xbcsseldorf,Drop Back,Balanced,1,1
100,1386,International,Mexico,Press After Possession Loss,Balanced,,7
101,189,Italian Serie A ,Bologna,Pressure On Heavy Touch,Balanced,4,2
102,1318,International,England,Balanced,Possession,,8
103,71,French Ligue 1 ,FC Nantes,Balanced,Long Ball,5,2
104,14,English League Championship ,Nottingham Forest,Balanced,Long Ball,8,1
105,101059,Ukrainian Premier League ,Shakhtar Donetsk,Press After Possession Loss,Balanced,10,8
106,1362,International,Spain,Press After Possession Loss,Possession,,9
107,54,Italian Serie A ,Torino,Drop Back,Long Ball,6,4
108,106,English League One ,Sunderland,Drop Back,Long Ball,9,2
109,1960,English League Championship ,Swansea City,Balanced,Possession,5,4
110,59,French Ligue 1 ,FC Girondins de Bordeaux,Balanced,Possession,6,3
111,100409,German 1. Bundesliga ,FC Augsburg,Balanced,Balanced,3,3
112,697,USA Major League Soccer ,LA Galaxy,Press After Possession Loss,Possession,8,5
113,1878,Mexican Liga MX ,Cruz Azul,Press After Possession Loss,Possession,6,7
114,673,Belgian Jupiler Pro League ,KRC Genk,Press After Possession Loss,Long Ball,7,4
115,1369,International,Argentina,Pressure On Heavy Touch,Possession,,9
116,1860,Spain Primera Division ,Getafe CF,Drop Back,Fast Build Up,5,2
117,112885,USA Major League Soccer ,Atlanta United,Press After Possession Loss,Possession,9,1
118,112996,USA Major League Soccer ,Los Angeles FC,Balanced,Possession,7,1
119,1354,International,Portugal,Pressure On Heavy Touch,Balanced,,8
120,109,English League Championship ,West Bromwich Albion,Balanced,Balanced,5,4
121,86,Scottish Premiership ,Rangers FC,Press After Possession Loss,Possession,9,3
122,1032,Mexican Liga MX ,Monterrey,Press After Possession Loss,Balanced,9,8
123,1831,German 1. Bundesliga ,1. FC Union Berlin,Press After Possession Loss,Balanced,9,1
124,485,German 2. Bundesliga ,Hannover 96,Pressure On Heavy Touch,Long Ball,5,3
125,1906,Holland Eredivisie ,AZ Alkmaar,Press After Possession Loss,Possession,9,4
126,1939,English League Championship ,Huddersfield Town,Press After Possession Loss,Balanced,2,1
127,55,Italian Serie A ,Udinese,Balanced,Balanced,5,3
128,896,Swiss Super League ,FC Basel 1893,Press After Possession Loss,Possession,10,6
129,101085,Argentina Primera División  ,Racing Club,Press After Possession Loss,Possession,9,8
130,1970,Mexican Liga MX ,Tigres U.A.N.L.,Pressure On Heavy Touch,Possession,10,7
131,242,Spanish Segunda División ,Deportivo de La Coru\xc3\xb1a,Balanced,Balanced,10,2
132,94,English League One ,Ipswich Town,Pressure On Heavy Touch,Long Ball,4,1
133,1343,International,Italy,Drop Back,Long Ball,,9
134,1028,Mexican Liga MX ,Monarcas Morelia,Balanced,Long Ball,4,5
135,1837,Italian Serie A ,Sampdoria,Pressure On Heavy Touch,Possession,5,3
136,76,French Ligue 1 ,RC Strasbourg Alsace,Pressure On Heavy Touch,Possession,1,1
137,1629,Campeonato Brasileiro Série A ,Gr\xc3\xaamio,Pressure On Heavy Touch,Balanced,9,8
138,674,Belgian Jupiler Pro League ,KAA Gent,Pressure On Heavy Touch,Balanced,8,5
139,231,Belgian Jupiler Pro League ,Club Brugge KV,Pressure On Heavy Touch,Balanced,9,5
140,101014,Turkish Süper Lig ,Medipol Ba\xc5\x9fak\xc5\x9fehir FK,Press After Possession Loss,Possession,8,4
141,1325,International,Belgium,Press After Possession Loss,Possession,,7
142,1961,English League Championship ,Cardiff City,Pressure On Heavy Touch,Long Ball,1,1
143,315,Russian Premier League ,PFC CSKA Moscow,Balanced,Possession,10,7
144,1387,International,United States,Press After Possession Loss,Possession,,6
145,110062,Spanish Segunda División ,Girona FC,Balanced,Balanced,4,1
146,111974,Italian Serie A ,Sassuolo,Press After Possession Loss,Possession,6,4
147,100761,Romanian Liga I ,FCSB (Steaua),Balanced,Balanced,10,5
148,112809,Portuguese Liga ZON SAGRES ,Famalic\xc3\xa3o,Balanced,Balanced,1,1
149,70,French Ligue 1 ,Montpellier HSC,Balanced,Balanced,5,3
150,171,German 2. Bundesliga ,1. FC N\xc3\xbcrnberg,Press After Possession Loss,Long Ball,2,1
151,4,English League One ,Bolton Wanderers,Drop Back,Fast Build Up,1,1
152,1925,English League Championship ,Brentford,Press After Possession Loss,Possession,6,1
153,1853,Spain Primera Division ,Levante UD,Balanced,Long Ball,3,1
154,479,Spain Primera Division ,CA Osasuna,Pressure On Heavy Touch,Long Ball,7,1
155,101047,Ukrainian Premier League ,Dynamo Kyiv,Pressure On Heavy Touch,Balanced,10,6
156,1809,French Ligue 1 ,Toulouse Football Club,Pressure On Heavy Touch,Possession,3,1
157,110395,Argentina Primera División  ,Club Atl\xc3\xa9tico Lan\xc3\xbas,Press After Possession Loss,Balanced,8,7
158,100767,Russian Premier League ,Spartak Moscow,Press After Possession Loss,Balanced,10,4
159,111839,Chinese Super League ,Guangzhou Evergrande Taobao FC,Balanced,Possession,10,6
160,573,Spanish Segunda División ,M\xc3\xa1laga CF,Balanced,Balanced,10,2
161,29,German 3. Bundesliga ,1. FC Kaiserslautern,Pressure On Heavy Touch,Balanced,10,1
162,88,English League Championship ,Birmingham City,Drop Back,Balanced,5,2
163,3,English League Championship ,Blackburn Rovers,Press After Possession Loss,Long Ball,10,1
164,12,English League Championship ,Middlesbrough,Drop Back,Possession,9,1
165,280,Greek Super League ,Olympiacos CFP,Press After Possession Loss,Possession,10,6
166,15,English League Championship ,Queens Park Rangers,Drop Back,Fast Build Up,4,1
167,33,German 3. Bundesliga ,TSV 1860 M\xc3\xbcnchen,Press After Possession Loss,Long Ball,7,1
168,472,Spanish Segunda División ,UD Las Palmas,Balanced,Possession,9,1
169,463,Spain Primera Division ,Deportivo Alav\xc3\xa9s,Drop Back,Fast Build Up,3,1
170,1952,English League Championship ,Hull City,Press After Possession Loss,Balanced,5,1
171,100765,Russian Premier League ,Lokomotiv Moscow,Press After Possession Loss,Balanced,8,6
172,244,Spanish Segunda División ,Real Zaragoza,Press After Possession Loss,Possession,8,1
173,232,Belgian Jupiler Pro League ,Standard de Li\xc3\xa8ge,Press After Possession Loss,Long Ball,7,4
174,1881,Mexican Liga MX ,U.N.A.M.,Press After Possession Loss,Possession,6,6
175,1919,English League Championship ,Bristol City,Pressure On Heavy Touch,Balanced,5,1
176,121,English League Two ,Crewe Alexandra,Press After Possession Loss,Balanced,7,1
177,110093,Argentina Primera División  ,Independiente,Pressure On Heavy Touch,Long Ball,9,8
178,347,Italian Serie A ,Lecce,Pressure On Heavy Touch,Possession,6,1
179,101146,Japanese J. League Division 1 ,Vissel Kobe,Press After Possession Loss,Balanced,4,2
180,100888,Spain Primera Division ,CD Legan\xc3\xa9s,Drop Back,Long Ball,4,1
181,110781,Mexican Liga MX ,Club Le\xc3\xb3n,Balanced,Possession,8,4
182,1940,English League Two ,Mansfield Town,Balanced,Possession,8,1
183,64,French Ligue 2 ,Racing Club de Lens,Press After Possession Loss,Possession,9,1
184,1793,English League Championship ,Reading,Press After Possession Loss,Possession,6,1
185,10030,German 1. Bundesliga ,SC Paderborn 07,Balanced,Balanced,1,1
186,254,Austrian Football Bundesliga ,SK Rapid Wien,Balanced,Balanced,9,4
187,111109,International,Colombia,Balanced,Long Ball,,7
188,689,USA Major League Soccer ,New York Red Bulls,Press After Possession Loss,Balanced,8,4
189,1807,English League Championship ,Sheffield Wednesday,Pressure On Heavy Touch,Balanced,7,1
190,1804,English League Two ,Bradford City,Balanced,Balanced,7,1
191,1945,English League One ,Bury,Drop Back,Balanced,7,1
192,89,English League Championship ,Charlton Athletic,Balanced,Possession,8,2
193,1882,Mexican Liga MX ,Deportivo Toluca,Balanced,Possession,7,7
194,110832,Spain Primera Division ,Granada CF,Drop Back,Balanced,7,1
195,206,Italian Serie A ,Hellas Verona,Pressure On Heavy Touch,Possession,10,2
196,1871,Polish T-Mobile Ekstraklasa ,Legia Warszawa,Press After Possession Loss,Balanced,10,5
197,224,French Ligue 1 ,N\xc3\xaemes Olympique,Press After Possession Loss,Balanced,1,1
198,1861,Spanish Segunda División ,UD Almer\xc3\xada,Balanced,Long Ball,4,1
199,112678,Mexican Liga MX ,Atl\xc3\xa9tico de San Luis,Balanced,Balanced,1,1
200,113134,Mexican Liga MX ,FC Ju\xc3\xa1rez,Balanced,Balanced,2,1
201,110144,Mexican Liga MX ,Santos Laguna,Press After Possession Loss,Long Ball,5,8
202,1365,International,Turkey,Pressure On Heavy Touch,Possession,,6
203,1920,English League Two ,Oldham Athletic,Drop Back,Long Ball,8,1
204,1356,International,Romania,Balanced,Balanced,,5
205,467,Spain Primera Division ,SD Eibar,Press After Possession Loss,Long Ball,4,1
206,1932,English League Championship ,Barnsley,Press After Possession Loss,Possession,9,1
207,1935,English League Two ,Colchester United,Pressure On Heavy Touch,Possession,6,1
208,97,English League Championship ,Millwall,Press After Possession Loss,Long Ball,4,1
209,110147,Mexican Liga MX ,Pachuca,Balanced,Possession,7,8
210,1801,English League Championship ,Preston North End,Press After Possession Loss,Balanced,3,1
211,503,German 2. Bundesliga ,SG Dynamo Dresden,Pressure On Heavy Touch,Balanced,6,1
212,1377,International,Uruguay,Balanced,Balanced,,7
213,111822,Austrian Football Bundesliga ,Wolfsberger AC,Drop Back,Long Ball,2,1
214,62,French Ligue 2 ,En Avant de Guingamp,Balanced,Long Ball,4,2
215,110329,German 2. Bundesliga ,FC St. Pauli,Pressure On Heavy Touch,Long Ball,6,1
216,1886,International,Hungary,Balanced,Long Ball,,4
217,1900,Portuguese Liga ZON SAGRES ,Moreirense FC,Balanced,Balanced,4,1
218,1929,English League Two ,Plymouth Argyle,Drop Back,Balanced,7,1
219,480,Spanish Segunda División ,Rayo Vallecano,Press After Possession Loss,Possession,2,1
220,1896,Portuguese Liga ZON SAGRES ,SC Braga,Press After Possession Loss,Possession,8,3
221,266,Czech Republic Gambrinus Liga ,SK Slavia Praha,Press After Possession Loss,Balanced,6,3
222,379,French Ligue 1 ,Stade de Reims,Balanced,Balanced,1,1
223,1530,French Ligue 1 ,Angers SCO,Balanced,Long Ball,3,1
224,900,Swiss Super League ,BSC Young Boys,Press After Possession Loss,Balanced,9,4
225,1353,International,Poland,Balanced,Balanced,,5
226,112791,Italian Serie A ,SPAL,Press After Possession Loss,Possession,1,1
227,267,Czech Republic Gambrinus Liga ,Sparta Praha,Balanced,Long Ball,10,4
228,111701,UAE Arabian Gulf League ,Al Ain FC,Balanced,Balanced,9,6
229,110816,Romanian Liga I ,CFR Cluj,Pressure On Heavy Touch,Balanced,9,5
230,1944,English League Two ,Cambridge United,Balanced,Possession,6,1
231,110569,French Ligue 1 ,Dijon FCO,Balanced,Long Ball,2,1
232,68,French Ligue 1 ,FC Metz,Press After Possession Loss,Possession,8,1
233,873,Polish T-Mobile Ekstraklasa ,Lech Pozna\xc5\x84,Press After Possession Loss,Long Ball,10,5
234,1958,English League Two ,Leyton Orient,Pressure On Heavy Touch,Balanced,5,1
235,393,Greek Super League ,PAOK,Balanced,Balanced,8,4
236,112540,Chinese Super League ,Shanghai SIPG FC,Press After Possession Loss,Possession,5,2
237,112828,USA Major League Soccer ,New York City FC,Press After Possession Loss,Possession,9,5
238,111817,French Ligue 2 ,Paris FC,Pressure On Heavy Touch,Possession,6,1
239,110532,German 3. Bundesliga ,SV Waldhof Mannheim,Balanced,Balanced,2,1
240,561,English League Two ,Forest Green Rovers,Balanced,Balanced,6,1
241,1917,English League Championship ,Wigan Athletic,Balanced,Balanced,9,1
242,192,Italian Serie B ,Chievo Verona,Pressure On Heavy Touch,Long Ball,3,2
243,1331,International,Denmark,Press After Possession Loss,Balanced,,5
244,110704,Spanish Segunda División ,FC Barcelona B,,,2,1
245,111239,German 3. Bundesliga ,FC Ingolstadt 04,Pressure On Heavy Touch,Balanced,8,1
246,110150,Mexican Liga MX ,Quer\xc3\xa9taro,Drop Back,Fast Build Up,3,4
247,378,French Ligue 1 ,Stade Brestois 29,Balanced,Possession,7,1
248,110145,Mexican Liga MX ,Tiburones Rojos de Veracruz,Drop Back,Balanced,2,1
249,1887,Portuguese Liga ZON SAGRES ,Vit\xc3\xb3ria Guimar\xc3\xa3es,Balanced,Long Ball,7,3
250,605,Saudi Abdul L. Jameel League ,Al Hilal,Press After Possession Loss,Possession,10,7
251,101114,Mexican Liga MX ,Club Atlas,Pressure On Heavy Touch,Possession,5,3
252,111678,Mexican Liga MX ,Club Tijuana,Pressure On Heavy Touch,Long Ball,5,6
253,688,USA Major League Soccer ,DC United,Press After Possession Loss,Balanced,5,4
254,113149,USA Major League Soccer ,FC Cincinnati,Drop Back,Fast Build Up,1,1
255,1923,English League Championship ,Luton Town,Balanced,Possession,6,1
256,456,Spanish Segunda División ,Racing Santander,Balanced,Long Ball,6,1
257,230,Belgian Jupiler Pro League ,Royal Antwerp FC,Press After Possession Loss,Balanced,2,1
258,1013,Argentina Primera División  ,San Lorenzo de Almagro,Balanced,Long Ball,9,8
259,57,French Ligue 2 ,AJ Auxerre,Pressure On Heavy Touch,Long Ball,6,1
260,1816,French Ligue 1 ,Amiens SC,Pressure On Heavy Touch,Balanced,1,1
261,1926,English League One ,Blackpool,Drop Back,Possession,5,1
262,1800,English League One ,Coventry City,Press After Possession Loss,Balanced,6,1
263,111112,International,C\xc3\xb4te d\'Ivoire,Press After Possession Loss,Balanced,,6
264,1915,Holland Eredivisie ,FC Groningen,Balanced,Long Ball,6,2
265,819,Danish Superliga ,FC K\xc3\xb8benhavn,Pressure On Heavy Touch,Balanced,10,4
266,217,French Ligue 2 ,FC Lorient,Press After Possession Loss,Possession,8,1
267,1889,Portuguese Liga ZON SAGRES ,Os Belenenses,Balanced,Possession,5,1
268,111144,USA Major League Soccer ,Seattle Sounders FC,Press After Possession Loss,Balanced,8,4
269,1909,Holland Eredivisie ,Vitesse,Press After Possession Loss,Possession,8,2
270,111235,German 2. Bundesliga ,1. FC Heidenheim 1846,Pressure On Heavy Touch,Balanced,4,1
271,1322,International,Austria,Press After Possession Loss,Possession,,4
272,92,English League Two ,Grimsby Town,Pressure On Heavy Touch,Balanced,5,1
273,112254,English League Two ,Newport County,Pressure On Heavy Touch,Balanced,3,1
274,1938,English League One ,Peterborough United,Drop Back,Fast Build Up,8,1
275,110839,Spanish Segunda División ,SD Huesca,Drop Back,Fast Build Up,2,1
276,209,Austrian Football Bundesliga ,SK Sturm Graz,Balanced,Long Ball,8,3
277,160,German 2. Bundesliga ,VfL Bochum 1848,Press After Possession Loss,Long Ball,7,1
278,1803,English League Two ,Walsall,Press After Possession Loss,Long Ball,3,1
279,112026,Italian Serie B ,Benevento,Balanced,Balanced,9,1
280,111459,International,Chile,Pressure On Heavy Touch,Long Ball,,7
281,1413,International,China PR,Balanced,Balanced,,3
282,110980,Chilian Campeonato Nacional ,Colo-Colo,Pressure On Heavy Touch,Possession,10,4
283,1746,Italian Serie B ,Empoli,Pressure On Heavy Touch,Possession,3,1
284,27,German 3. Bundesliga ,FC Hansa Rostock,Press After Possession Loss,Possession,4,1
285,1908,Holland Eredivisie ,FC Twente,Pressure On Heavy Touch,Balanced,6,2
286,252,Austrian Football Bundesliga ,LASK Linz,Press After Possession Loss,Balanced,3,1
287,111091,Polish T-Mobile Ekstraklasa ,Lechia Gda\xc5\x84sk,Balanced,Long Ball,7,2
288,1930,English League Two ,Northampton Town,Press After Possession Loss,Possession,8,1
289,1951,English League One ,Oxford United,Balanced,Possession,7,1
290,110827,Spanish Segunda División ,Real Oviedo,Pressure On Heavy Touch,Balanced,8,1
291,110975,Chilian Campeonato Nacional ,Universidad Cat\xc3\xb3lica,Pressure On Heavy Touch,Balanced,9,6
292,1367,International,Wales,Drop Back,Balanced,,4
293,101100,Colombian Liga Postobón ,Atl\xc3\xa9tico Nacional,Balanced,Possession,10,9
294,110404,Argentina Primera División  ,Club Atl\xc3\xa9tico Banfield,Balanced,Long Ball,5,4
295,101121,Mexican Liga MX ,Club Necaxa,Pressure On Heavy Touch,Long Ball,2,2
296,112093,Japanese J. League Division 1 ,Gamba Osaka,Balanced,Possession,8,5
297,101147,Japanese J. League Division 1 ,Kashima Antlers,Press After Possession Loss,Balanced,9,4
298,1738,French Ligue 2 ,Le Havre AC,Pressure On Heavy Touch,Possession,7,1
299,1825,German 3. Bundesliga ,MSV Duisburg,Balanced,Long Ball,3,1
300,143,English League Two ,Exeter City,Press After Possession Loss,Possession,5,1
301,167,German 3. Bundesliga ,KFC Uerdingen 05,Press After Possession Loss,Long Ball,8,1
302,1738,French Ligue 2 ,Le Havre AC,Pressure On Heavy Touch,Possession,7,1
303,1053,Campeonato Brasileiro Série A ,Santos,Press After Possession Loss,Possession,6,5
304,278,Greek Super League ,AEK Athens,Pressure On Heavy Touch,Balanced,6,2
305,112259,English League One ,AFC Wimbledon,Drop Back,Fast Build Up,2,1
306,1903,Holland Eredivisie ,FC Utrecht,Pressure On Heavy Touch,Balanced,7,2
307,320,Swedish Allsvenskan ,Malm\xc3\xb6 FF,Press After Possession Loss,Balanced,10,4
308,1798,English League One ,Milton Keynes Dons,Press After Possession Loss,Balanced,9,1
309,1375,International,Paraguay,Press After Possession Loss,Balanced,,4
310,1359,International,Scotland,Balanced,Balanced,,4
311,1949,English League Two ,Scunthorpe United,Balanced,Long Ball,7,1
312,1934,English League Two ,Swindon Town,Balanced,Long Ball,7,1
313,567,Campeonato Brasileiro Série A ,Fluminense,Pressure On Heavy Touch,Possession,9,5
314,576,German 2. Bundesliga ,Holstein Kiel,Pressure On Heavy Touch,Possession,2,1
315,101101,Colombian Liga Postobón ,Junior FC,Press After Possession Loss,Balanced,8,7
316,1959,English League Two ,Macclesfield Town,Balanced,Balanced,1,1
317,1884,Greek Super League ,Panathinaikos FC,Press After Possession Loss,Balanced,8,3
318,111400,Australian Hyundai A-League ,Sydney FC,Press After Possession Loss,Possession,10,5
319,111455,International,Canada,Drop Back,Fast Build Up,,2
320,112378,Chinese Super League ,Dalian YiFang FC,Balanced,Balanced,2,1
321,1788,Danish Superliga ,FC Nordsj\xc3\xa6lland,Press After Possession Loss,Possession,7,2
322,113180,Romanian Liga I ,FC Viitorul,Balanced,Balanced,8,4
323,256,Austrian Football Bundesliga ,FK Austria Wien,Press After Possession Loss,Balanced,7,4
324,100325,Finnish Veikkausliiga ,HJK Helsinki,Balanced,Long Ball,10,1
325,110482,German 3. Bundesliga ,Hallescher FC,Drop Back,Possession,5,1
326,110724,Belgian Jupiler Pro League ,KV Mechelen,Balanced,Balanced,6,1
327,149,English League One ,Lincoln City,Press After Possession Loss,Long Ball,8,1
328,111399,Australian Hyundai A-League ,Perth Glory,Balanced,Possession,4,1
329,1928,English League Two ,Port Vale,Drop Back,Long Ball,8,1
330,111651,USA Major League Soccer ,Toronto FC,Pressure On Heavy Touch,Balanced,8,4
331,15048,English League One ,Tranmere Rovers,Balanced,Long Ball,4,1
332,114023,Australian Hyundai A-League ,Western United FC,Balanced,Balanced,1,1
333,1907,Holland Eredivisie ,Willem II,Pressure On Heavy Touch,Possession,4,1
334,1873,Polish T-Mobile Ekstraklasa ,Wis\xc5\x82a Krak\xc3\xb3w,Balanced,Balanced,7,3
335,1854,Spanish Segunda División ,Albacete BP,Pressure On Heavy Touch,Balanced,4,1
336,1035,Campeonato Brasileiro Série A ,Atl\xc3\xa9tico Mineiro,Pressure On Heavy Touch,Long Ball,7,6
337,110406,Argentina Primera División  ,Club Atl\xc3\xa9tico Col\xc3\xb3n,Press After Possession Loss,Possession,6,5
338,100757,Romanian Liga I ,Dinamo Bucure\xc5\x9fti,Balanced,Balanced,7,3
339,101083,Argentina Primera División  ,Estudiantes de La Plata,Balanced,Balanced,8,6
340,1802,English League One ,Gillingham,Balanced,Long Ball,2,1
